t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,target
12,3,12,3,1,7,1,21,1,30,8,32,11,0,11,0,11,0,21,11,0,11,0,11,0,11,0,11,0,11,0,11,0,7,2,0,19,0,1,2,7,3,7,0,11,0,2,7,1,21,11
13,2,1,19,1,30,8,0,5,16,6,0,1,17,1,2,8,33,26,29,32,8,2,28,31,19,0,19,33,19,33,19,0,19,33,19,1,19,33,19,1,19,1,19,1,30,1,17,1,0,19
2,32,2,13,2,27,23,29,26,33,26,29,32,18,33,28,31,28,31,0,21,1,17,1,19,1,3,18,33,18,32,18,33,18,33,30,18,32,18,33,18,32,18,18,32,18,32,18,33,29,18
14,33,32,23,33,22,32,23,32,8,33,28,33,9,33,31,0,11,0,10,5,16,5,16,5,16,6,16,5,16,5,16,6,16,6,16,6,16,6,16,5,0,12,0,17,0,3,7,2,9,16
21,1,3,13,2,13,0,19,0,12,0,19,1,19,0,12,3,20,32,20,32,20,33,20,32,33,20,32,20,33,20,33,20,33,20,33,8,33,27,23,33,31,25,31,0,4,10,0,4,6,20
30,8,0,21,1,2,8,0,10,0,19,28,33,13,28,33,28,33,28,31,28,31,28,33,28,2,28,2,1,28,31,32,15,32,2,9,33,31,24,31,33,18,32,23,25,31,28,33,15,33,28
11,0,17,1,3,0,19,0,5,10,0,17,0,12,3,1,3,2,9,10,0,10,5,10,5,10,4,10,5,10,4,10,0,11,10,0,10,4,10,4,0,13,0,10,0,31,0,12,0,17,10
23,33,27,2,1,2,9,2,0,10,5,10,5,27,23,27,33,27,33,27,23,27,24,27,24,27,23,27,33,27,24,27,24,27,24,31,24,31,33,9,2,32,2,13,0,4,10,0,3,12,27
25,23,33,26,33,26,29,32,2,0,2,3,13,3,13,33,30,1,21,0,7,1,7,3,1,30,8,30,1,30,1,30,1,30,32,30,33,30,8,30,1,30,8,30,8,0,4,6,5,10,30
19,0,21,0,6,16,5,16,6,5,0,11,0,27,24,27,2,27,2,27,33,27,33,13,0,27,2,27,24,27,33,27,2,8,33,20,33,9,2,27,2,27,2,8,33,31,0,17,0,11,27
16,5,6,5,6,0,12,3,10,4,10,4,10,0,10,5,10,5,0,10,5,0,10,5,10,5,10,5,10,0,17,1,7,1,19,0,4,6,4,6,4,0,7,0,4,10,0,11,0,11,10
22,32,15,32,15,32,15,32,15,33,15,32,15,33,15,33,15,33,15,33,15,33,15,32,18,33,20,33,15,32,18,32,20,33,27,24,31,28,31,25,23,29,23,32,14,33,20,32,22,32,15
31,28,2,3,0,5,10,0,17,0,13,0,10,0,6,4,6,0,10,4,0,10,31,0,31,25,31,0,31,0,31,25,31,0,31,25,31,33,31,32,31,25,23,33,23,25,23,27,2,13,31
13,1,0,31,24,27,2,27,23,27,33,27,33,27,2,27,2,27,23,27,24,27,23,27,24,27,2,8,32,29,33,31,32,30,8,30,1,13,33,29,33,27,24,27,24,31,25,31,33,20,27
0,17,1,2,13,2,1,3,7,1,19,0,31,28,33,28,31,28,33,28,33,28,33,28,2,28,33,28,31,28,31,28,2,0,31,24,27,33,31,25,31,32,31,0,13,1,21,1,13,33,28
1,2,1,30,8,30,8,32,33,8,2,7,0,11,0,17,0,4,10,5,6,5,6,0,18,32,18,33,18,33,18,32,18,33,18,33,18,32,18,33,18,33,18,32,22,33,19,0,31,32,18
22,33,23,27,33,26,23,27,23,29,23,33,31,23,27,23,25,23,27,23,29,23,33,23,29,23,29,33,27,33,9,33,27,33,31,28,2,9,2,27,2,32,18,32,22,32,31,0,11,0,23
24,31,23,25,23,32,23,33,23,27,23,29,23,29,23,25,23,25,23,29,23,29,33,30,8,2,8,30,8,2,9,2,9,2,1,21,0,17,1,19,33,27,23,25,31,24,31,0,6,4,23
10,0,2,32,30,33,14,33,15,33,29,33,22,33,32,33,31,33,15,33,31,33,23,25,33,13,0,1,0,10,5,6,5,0,11,0,17,1,13,3,13,33,18,32,15,33,15,32,18,32,33
16,6,16,5,0,5,16,6,0,17,1,13,2,11,0,11,0,11,0,11,11,0,13,11,0,11,0,11,0,11,0,11,0,12,3,1,30,1,2,1,0,5,16,6,16,6,4,10,5,10,11
11,0,2,28,2,32,2,8,0,21,1,21,0,3,0,19,33,23,32,15,33,15,32,23,22,33,22,32,20,22,32,30,22,32,22,33,22,32,22,33,22,33,22,32,30,33,8,30,8,30,22
3,1,32,14,32,20,32,30,8,32,8,32,2,32,2,32,31,32,30,32,22,32,31,25,31,25,31,33,31,0,4,6,16,5,0,31,24,31,33,13,33,15,33,23,27,33,9,33,9,2,32
22,33,31,28,2,32,22,33,9,33,30,33,31,33,27,23,32,14,33,18,33,20,32,30,10,5,10,5,10,5,10,4,10,5,10,0,4,10,5,6,10,5,10,4,6,0,6,16,5,10,10
31,25,31,33,20,33,20,32,23,29,23,27,24,27,33,30,32,14,33,27,33,8,0,8,2,13,0,7,22,32,22,32,22,33,22,33,22,32,22,32,22,33,22,32,22,33,22,33,23,25,22
1,0,10,5,10,5,0,6,0,7,1,7,1,23,32,23,33,23,27,23,27,23,33,23,32,23,29,23,29,23,33,23,33,28,31,32,22,33,28,2,3,12,0,2,27,2,28,31,0,7,23
22,33,28,31,28,31,25,31,0,14,33,14,32,31,14,32,14,32,14,33,14,33,14,32,33,14,33,14,32,18,32,8,30,33,26,29,33,14,33,27,2,28,31,33,30,8,30,8,32,15,14
27,2,26,29,26,29,26,29,23,26,29,26,33,26,33,26,29,26,33,26,29,26,33,26,29,33,13,3,7,2,27,33,19,1,2,8,32,30,8,32,18,33,28,31,28,31,28,2,0,11,26
24,27,2,0,2,3,0,5,0,21,0,4,10,5,10,0,1,19,1,19,1,2,1,13,1,17,1,3,1,7,1,2,0,1,3,1,7,0,21,0,3,2,28,31,25,23,29,33,15,33,1
8,0,8,2,27,23,32,8,2,7,3,13,33,14,33,28,33,26,33,8,0,31,28,31,24,31,25,24,25,30,32,30,8,30,8,33,30,1,30,8,30,1,30,8,30,33,19,30,8,33,30
17,0,7,3,2,27,24,25,24,33,28,33,23,33,15,33,23,33,30,33,32,33,29,33,13,33,15,33,22,32,29,26,33,27,24,27,2,28,31,32,14,33,20,33,14,33,18,32,31,28,33
30,1,30,1,3,7,1,3,12,3,2,20,32,20,32,20,32,20,33,13,20,32,20,32,20,33,20,32,20,33,20,33,31,0,8,0,19,33,29,32,31,32,8,32,18,33,22,32,8,0,20
31,0,19,1,17,0,8,2,27,2,7,0,11,0,21,1,21,1,19,1,13,2,15,32,15,32,15,33,13,15,33,15,33,15,32,15,33,15,32,15,33,15,32,30,33,13,1,30,33,31,15
17,1,19,33,31,24,31,0,17,0,17,1,13,33,27,33,30,8,33,23,25,31,33,29,23,29,26,29,23,29,32,29,32,29,26,29,32,29,23,29,26,29,26,29,26,33,30,32,18,33,29
30,8,30,33,29,33,22,33,29,26,33,8,30,33,20,32,18,33,27,33,30,8,33,32,14,33,32,14,32,8,27,23,27,33,27,24,27,24,27,33,27,2,27,33,27,33,27,2,27,2,27
11,0,10,0,4,6,16,6,16,5,10,5,21,1,21,1,21,1,3,21,0,21,0,21,0,21,0,31,21,1,21,0,10,4,10,0,6,4,6,0,2,13,0,17,0,12,0,5,16,5,21
22,32,2,13,33,19,0,17,1,17,0,17,0,17,0,17,0,17,1,17,0,17,0,17,1,17,0,1,3,1,13,33,20,32,15,32,31,33,15,32,30,32,2,1,0,6,0,5,10,0,17
33,27,19,0,7,19,0,19,33,19,33,19,0,19,0,19,33,19,33,19,0,8,30,1,2,8,30,1,0,13,3,7,0,3,1,7,2,27,24,31,24,27,2,28,33,31,25,31,25,23,19
18,32,29,33,30,7,1,7,2,7,3,7,7,2,7,3,7,1,7,1,7,0,7,1,7,1,30,8,30,1,0,10,5,6,0,6,0,12,3,1,13,3,2,27,24,27,24,25,31,33,7
5,16,5,12,3,12,0,19,1,12,3,12,0,12,3,1,12,3,12,3,12,3,12,0,5,0,31,33,13,2,32,29,23,27,23,25,23,33,18,33,32,18,32,15,33,15,32,20,32,14,12
32,29,32,20,32,18,33,26,33,30,1,7,2,27,33,32,23,25,31,33,28,33,13,2,8,32,8,27,24,27,33,27,24,27,23,29,27,24,27,24,31,27,24,27,23,27,24,27,23,33,27
20,33,13,0,1,0,11,0,19,1,3,13,1,30,32,31,25,31,24,25,24,25,24,31,25,23,30,8,2,30,32,30,8,30,8,30,1,30,1,30,33,29,30,33,30,8,2,9,33,28,30
29,32,33,9,2,8,2,1,19,1,17,1,21,0,7,0,13,1,3,13,1,30,1,2,0,12,3,1,17,0,17,0,6,17,1,17,1,17,1,17,1,17,1,17,0,17,0,17,0,3,17
28,2,13,1,21,0,31,25,24,27,24,25,24,31,28,31,32,15,13,33,13,0,13,33,13,1,13,2,13,3,13,2,13,3,13,0,13,0,5,16,6,0,17,0,11,0,2,27,2,1,13
4,0,8,32,8,0,4,6,16,5,16,6,5,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,7,11,0,2,8,2,7,3,1,0,2,3,0,10,0,11,0,2,32,11
28,2,28,31,33,22,32,31,0,2,8,0,12,0,2,1,19,33,30,32,2,0,13,3,13,33,13,33,13,2,13,2,13,2,13,2,13,2,13,3,13,0,19,1,21,0,6,0,10,4,13
10,5,14,33,14,32,14,32,14,33,14,32,14,32,14,32,14,32,14,33,27,14,33,30,32,30,33,26,29,32,20,33,28,33,14,32,30,33,22,32,18,32,14,33,14,33,18,32,31,24,14
11,0,8,10,4,10,4,10,0,10,4,6,0,10,0,1,21,10,5,10,4,10,0,10,0,13,2,7,3,1,13,3,2,0,3,0,5,6,5,10,0,31,32,22,32,33,14,32,20,32,10
24,25,24,31,28,31,24,25,20,32,20,33,20,33,20,32,20,33,20,33,20,33,20,32,20,33,20,33,23,29,23,29,26,33,15,33,27,2,3,7,1,13,33,19,1,3,13,1,3,13,20
9,2,9,2,28,33,14,33,29,32,29,26,2,0,2,32,2,32,2,8,33,2,3,2,3,2,13,2,28,2,32,2,7,1,3,12,3,0,12,3,7,0,10,5,10,0,1,21,1,7,2
31,0,10,4,6,4,10,4,6,16,1,3,1,13,1,2,1,19,1,21,1,1,3,13,1,0,1,21,1,3,13,0,4,6,5,10,0,8,30,32,8,33,20,32,20,33,32,33,23,32,1
32,14,33,27,23,27,33,28,2,9,2,27,24,8,0,8,30,8,32,8,2,8,2,8,30,8,30,33,8,2,8,30,8,2,27,24,27,2,13,2,32,29,23,32,15,32,33,32,14,32,8
2,28,2,9,33,19,33,23,29,23,32,31,24,31,0,2,3,2,27,9,33,9,2,9,33,19,9,2,28,9,2,32,9,33,9,33,9,33,9,33,14,33,14,32,33,20,32,20,32,20,9
26,29,29,26,29,23,29,26,29,33,29,26,29,23,29,23,29,33,29,33,29,26,29,33,26,29,33,8,0,10,4,10,0,12,3,13,3,13,0,21,1,21,0,11,0,21,1,17,0,17,29
13,3,13,12,0,8,12,3,12,3,12,3,12,3,12,3,12,0,12,0,12,3,12,3,12,3,13,2,27,23,25,23,33,13,3,1,13,33,23,25,31,28,33,13,0,19,0,6,16,6,12
33,22,33,32,0,21,0,11,0,13,1,0,12,3,0,31,25,0,8,0,8,0,21,0,3,12,0,2,28,2,32,33,30,33,20,33,27,23,25,31,33,32,30,32,20,32,2,27,2,27,0
4,10,0,7,2,1,0,6,5,6,5,16,6,5,0,13,2,3,10,5,10,5,10,5,10,4,10,4,10,0,4,10,4,10,0,10,4,10,5,6,4,6,4,10,5,10,5,6,5,6,10
6,16,5,6,5,0,21,0,13,0,11,0,21,0,4,0,21,0,6,16,6,16,5,0,1,7,3,0,11,11,0,11,0,8,11,0,11,0,11,0,11,0,11,0,11,0,11,0,3,13,11
12,3,13,33,30,8,30,32,14,33,9,2,3,13,33,9,2,0,8,32,15,32,22,32,33,10,5,10,5,10,5,10,0,10,0,10,5,10,5,10,4,10,4,10,5,10,4,6,5,16,10
24,27,24,31,33,22,32,23,29,26,11,0,4,11,0,11,0,12,11,0,11,0,11,0,11,11,0,11,0,11,0,5,16,6,0,21,1,3,0,4,10,4,10,4,10,0,7,0,13,2,11
28,31,25,24,31,33,9,33,15,33,27,24,31,25,24,31,25,23,27,2,9,33,23,32,18,33,20,32,29,33,29,23,29,23,33,29,23,29,33,29,23,29,26,29,33,29,26,29,23,29,29
25,31,33,27,23,29,23,25,23,25,23,25,23,25,24,23,32,23,25,23,25,23,33,23,29,23,29,26,33,15,32,8,32,31,24,27,24,27,23,27,24,31,33,19,0,21,1,2,1,7,23
14,33,29,26,29,26,33,18,33,19,1,19,33,26,29,33,27,2,0,19,33,7,2,7,0,7,3,7,1,7,1,7,0,7,3,7,1,7,2,7,1,13,1,30,1,30,32,8,30,32,7
32,29,33,28,33,29,23,33,9,2,1,25,31,25,31,25,31,25,24,25,31,25,24,25,24,25,24,27,25,24,25,24,31,24,27,23,33,30,33,27,23,33,32,22,32,29,26,33,32,29,25
24,31,0,12,3,0,17,1,2,8,2,1,21,1,30,33,8,2,3,1,30,32,14,33,19,1,10,0,10,5,10,4,10,0,10,5,10,0,2,10,4,10,0,10,0,10,5,16,5,0,10
8,33,29,26,33,30,33,30,33,2,8,2,9,2,3,2,3,1,2,3,2,32,2,9,2,27,2,27,2,7,1,3,12,0,17,0,4,0,12,3,12,3,7,1,3,12,3,13,3,13,2
16,6,16,1,13,0,1,17,1,21,1,30,1,17,1,30,33,1,7,1,2,7,1,13,3,2,8,32,8,33,13,33,18,32,31,28,31,24,25,24,27,33,13,1,17,0,8,32,2,9,1
19,0,17,1,3,0,5,10,4,10,0,10,0,8,2,7,3,7,2,27,23,32,30,32,33,18,33,8,0,8,0,8,0,8,2,8,32,8,33,8,32,22,32,8,30,8,0,7,3,0,8
22,33,28,2,3,13,3,13,33,15,32,22,32,15,10,4,10,4,10,0,10,5,10,0,10,5,10,0,2,10,5,10,0,10,5,0,19,0,12,0,10,0,8,33,15,33,13,33,26,33,10
21,1,7,1,20,32,20,32,20,33,20,33,20,32,20,32,20,32,20,33,20,33,20,33,9,2,1,13,3,7,0,31,33,22,33,26,33,23,25,24,31,28,2,27,24,27,2,7,1,13,20
25,24,27,24,27,2,28,31,24,27,2,25,23,25,23,25,31,25,23,25,23,25,24,25,24,27,25,24,25,31,25,23,25,31,25,24,25,23,32,29,32,15,33,15,33,23,32,30,33,32,25
9,2,0,7,1,6,0,6,0,6,5,6,16,6,0,6,4,6,0,6,4,6,0,6,0,13,2,0,13,1,13,0,3,7,0,10,4,6,16,5,16,6,4,6,4,0,11,0,10,0,6
15,32,20,33,23,29,32,18,33,23,14,32,14,32,14,33,14,32,14,32,14,33,14,33,14,33,14,33,14,32,29,23,33,29,23,32,2,28,31,33,8,2,8,2,28,2,7,0,19,0,14
0,6,5,10,4,7,3,7,1,7,2,7,3,7,0,7,0,7,2,7,2,7,3,7,0,13,2,13,0,3,0,17,1,17,0,10,4,0,13,3,12,0,13,1,17,1,3,0,31,24,7
29,26,33,9,2,27,33,9,2,27,2,7,1,21,0,4,6,0,12,3,1,7,3,2,7,2,9,2,1,3,8,33,8,32,8,30,8,30,8,2,8,2,8,32,8,30,8,2,8,0,8
1,30,32,33,23,33,26,33,18,33,32,20,33,20,32,15,0,19,0,13,0,31,0,5,0,5,0,13,0,19,0,11,0,6,0,6,16,6,0,10,4,10,0,6,0,17,1,2,13,33,0
32,8,30,32,18,32,15,32,20,33,32,14,33,19,24,31,24,31,24,31,24,25,24,25,24,31,24,27,24,27,24,31,24,27,24,31,25,31,0,6,0,1,30,1,3,0,3,12,3,2,24
23,32,31,5,0,5,16,5,5,6,5,10,5,16,5,0,5,10,5,16,5,10,5,6,5,0,12,0,13,0,4,10,4,6,4,6,16,6,5,0,3,12,3,7,2,1,0,2,28,31,5
10,5,0,6,4,0,6,0,17,1,21,1,2,28,31,0,6,16,6,16,6,5,0,4,0,17,1,30,32,9,2,9,2,9,33,9,33,9,33,9,33,9,33,9,2,9,33,9,33,26,9
19,1,2,3,7,2,9,33,8,30,1,0,10,0,21,1,19,33,32,29,26,33,14,33,15,33,15,32,15,33,15,32,15,32,15,33,15,33,15,33,15,33,15,32,15,32,18,33,8,2,15
31,25,31,0,8,0,13,2,7,3,7,2,13,0,5,6,0,17,1,17,0,17,1,17,1,17,1,17,0,17,1,17,0,17,0,17,0,3,12,3,12,3,13,2,1,19,1,19,0,11,17
10,5,10,0,2,7,2,22,32,22,32,22,32,22,32,22,33,22,33,22,32,20,32,22,33,22,33,20,33,30,32,2,13,1,0,11,0,4,6,0,12,3,2,13,1,21,1,17,0,13,22
14,33,30,8,2,8,33,20,32,2,32,15,33,32,20,33,9,24,27,24,27,24,25,24,31,24,27,24,27,24,31,24,25,24,24,27,24,31,24,31,25,24,25,31,25,23,33,27,24,31,24
4,10,5,16,6,16,6,4,29,33,29,33,29,32,29,33,29,33,29,23,29,23,29,33,29,26,29,23,25,24,31,28,2,27,24,31,33,30,8,30,32,30,32,14,33,14,32,15,32,31,29
28,31,33,23,33,8,32,30,8,19,1,19,33,19,1,19,1,19,33,19,0,19,0,19,33,14,19,33,26,33,27,23,32,18,32,8,32,14,33,29,33,29,33,18,32,30,33,8,32,14,19
15,32,22,33,31,22,33,22,32,22,33,22,33,22,33,22,33,22,33,22,32,22,32,33,22,33,27,24,27,2,32,20,32,8,33,19,0,8,30,8,2,8,32,33,18,32,8,2,3,1,22
0,6,5,16,6,5,10,4,6,5,16,6,4,10,5,0,5,10,0,11,0,2,0,10,0,3,13,33,26,29,18,33,18,32,18,32,18,33,18,32,18,33,18,33,18,33,18,33,18,32,18
27,24,27,2,27,33,15,32,31,32,20,32,33,14,32,31,17,0,17,0,17,0,17,1,17,0,17,1,17,1,17,0,17,0,17,1,17,0,17,1,0,17,1,13,33,15,33,9,33,9,17
21,1,3,13,2,0,4,10,5,6,16,6,0,3,12,3,7,1,19,0,31,24,27,24,30,33,30,32,8,30,32,22,30,32,30,8,30,1,30,8,2,30,33,30,32,14,33,27,2,7,30
29,32,23,29,26,33,22,32,18,33,13,2,1,30,33,23,27,23,32,10,4,10,5,10,0,2,10,5,10,4,10,4,10,0,10,0,10,0,10,4,6,16,5,10,5,10,0,1,17,1,10
27,33,18,33,26,29,32,8,32,15,33,8,0,7,3,12,3,1,30,32,29,4,0,4,0,4,6,4,10,4,0,4,10,4,0,4,10,4,6,4,10,0,19,1,2,28,2,3,12,0,4
17,1,7,0,7,3,2,28,2,1,3,0,19,1,20,32,20,32,2,20,33,20,33,20,32,20,33,20,33,20,32,20,32,20,32,23,33,18,33,20,33,8,32,29,33,8,0,12,0,3,20
25,23,25,23,25,31,25,31,24,31,0,13,0,12,3,2,0,3,2,13,2,13,2,8,30,1,0,6,0,8,25,31,25,24,25,23,25,24,25,24,25,31,25,24,25,31,25,24,25,25,25
17,1,13,33,31,25,31,32,8,2,8,2,8,32,8,2,0,5,0,13,1,3,12,0,10,6,4,6,16,6,0,6,16,6,5,6,16,6,5,6,4,6,5,6,4,0,5,0,11,0,6
4,6,4,10,28,31,28,2,13,28,2,28,33,28,2,28,2,28,31,28,2,28,31,28,31,24,27,2,9,2,32,31,24,25,23,29,26,29,26,33,20,32,2,8,33,29,23,32,30,33,28
6,0,6,5,16,6,0,18,33,18,32,18,32,18,32,18,18,33,18,32,18,33,18,33,18,33,18,33,14,33,28,31,33,18,32,2,28,31,28,33,18,33,19,0,3,1,21,1,7,3,18
7,0,11,0,31,24,25,24,31,33,27,33,9,33,23,33,32,2,2,28,2,8,2,8,2,13,2,27,2,27,2,0,2,0,2,7,2,8,30,32,8,32,23,33,28,2,7,0,2,1,2
30,32,33,26,33,23,33,9,2,9,2,0,11,0,31,24,25,24,31,0,21,1,30,32,29,26,33,19,1,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,31,11
19,0,12,0,11,0,6,16,5,16,6,0,10,5,10,4,0,3,0,6,5,0,6,4,6,16,6,16,6,4,6,5,6,0,6,16,6,4,6,5,0,2,7,2,1,30,1,30,1,3,6
22,32,2,7,30,8,30,8,30,8,30,8,30,8,30,33,30,33,30,32,30,8,32,30,32,30,1,30,32,29,26,33,15,32,15,33,9,33,8,33,8,0,10,0,13,1,0,2,1,2,30
28,33,32,22,32,23,33,28,2,0,6,16,6,16,5,16,5,16,5,6,4,0,13,8,30,8,32,8,33,8,0,8,33,8,32,8,30,8,0,8,32,8,33,8,32,31,25,31,24,25,8
30,1,8,0,17,8,0,8,30,8,2,8,0,8,0,8,32,8,0,8,32,8,30,33,23,32,18,33,30,1,19,33,20,32,20,33,31,24,25,31,28,33,28,2,0,10,4,10,5,6,8
23,33,15,32,29,32,30,33,27,33,15,33,31,0,3,7,3,1,19,0,31,24,25,24,31,28,2,8,32,23,21,1,21,0,21,0,21,0,21,0,21,1,21,0,21,1,21,0,21,0,21
26,33,31,24,27,33,30,8,2,1,22,33,22,33,22,32,22,33,22,32,22,33,22,32,22,32,22,33,22,33,8,2,28,31,33,26,33,14,32,2,9,33,18,32,33,22,33,31,28,31,22
